2017-02-12 23:33:35,225 - ___log_ - INFO - Start handling; /Users/JerryHan88/PycharmProjects/taxi_projects/community_analysis/data/tfZ_TP/tfZ_TP-2009-0.csv
2017-02-12 23:42:31,528 - ___log_ - INFO - Doing regression 0.88; 2009-11
2017-02-12 23:42:34,754 - ___log_ - INFO - Start pickling; 2012-12
2017-02-12 23:42:35,011 - ___log_ - INFO - Start handling; /Users/JerryHan88/PycharmProjects/taxi_projects/community_analysis/data/tfZ_TP/tfZ_TP-2012-13.csv
2017-02-12 23:42:35,011 - ___log_ - INFO - Start loading; 2012-13
2017-02-12 23:42:35,622 - ___log_ - INFO - Doing regression 0.20; 2011-13
2017-02-12 23:42:38,052 - ___log_ - INFO - Doing regression 0.56; 2010-11
2017-02-12 23:42:38,259 - ___log_ - INFO - Doing regression 0.98; 2009-11
2017-02-12 23:42:38,904 - ___log_ - INFO - Start pickling; 2009-11
2017-02-12 23:42:39,152 - ___log_ - INFO - Start handling; /Users/JerryHan88/PycharmProjects/taxi_projects/community_analysis/data/tfZ_TP/tfZ_TP-2009-12.csv
2017-02-12 23:42:39,152 - ___log_ - INFO - Start loading; 2009-12
2017-02-12 23:42:40,726 - ___log_ - INFO - Doing regression 0.31; 2011-13
2017-02-12 23:42:43,971 - ___log_ - INFO - Doing regression 0.65; 2010-11
2017-02-12 23:42:45,430 - ___log_ - INFO - Doing regression 0.41; 2011-13
2017-02-12 23:42:49,999 - ___log_ - INFO - Doing regression 0.75; 2010-11
2017-02-12 23:42:50,256 - ___log_ - INFO - Doing regression 0.51; 2011-13
2017-02-12 23:42:55,612 - ___log_ - INFO - Doing regression 0.84; 2010-11
2017-02-12 23:42:56,553 - ___log_ - INFO - Doing regression 0.61; 2011-13
2017-02-12 23:42:59,396 - ___log_ - INFO - Doing regression 0.71; 2011-13
2017-02-12 23:43:01,139 - ___log_ - INFO - Doing regression 0.93; 2010-11
2017-02-12 23:43:06,239 - ___log_ - INFO - Doing regression 0.82; 2011-13
2017-02-12 23:43:06,403 - ___log_ - INFO - Doing regression 0.00; 2012-13
2017-02-12 23:43:06,754 - ___log_ - INFO - Start pickling; 2010-11
2017-02-12 23:43:06,963 - ___log_ - INFO - Start handling; /Users/JerryHan88/PycharmProjects/taxi_projects/community_analysis/data/tfZ_TP/tfZ_TP-2010-12.csv
2017-02-12 23:43:06,963 - ___log_ - INFO - Start loading; 2010-12
2017-02-12 23:43:10,955 - ___log_ - INFO - Doing regression 0.92; 2011-13
2017-02-12 23:43:11,388 - ___log_ - INFO - Doing regression 0.10; 2012-13
2017-02-12 23:43:14,093 - ___log_ - INFO - Start pickling; 2011-13
2017-02-12 23:43:14,286 - ___log_ - INFO - Start handling; /Users/JerryHan88/PycharmProjects/taxi_projects/community_analysis/data/tfZ_TP/tfZ_TP-2011-14.csv
2017-02-12 23:43:14,286 - ___log_ - INFO - Start loading; 2011-14
2017-02-12 23:43:16,764 - ___log_ - INFO - Doing regression 0.21; 2012-13
2017-02-12 23:43:23,211 - ___log_ - INFO - Doing regression 0.31; 2012-13
2017-02-12 23:43:27,427 - ___log_ - INFO - Doing regression 0.42; 2012-13
2017-02-12 23:43:31,514 - ___log_ - INFO - Doing regression 0.00; 2009-12
2017-02-12 23:43:33,226 - ___log_ - INFO - Doing regression 0.52; 2012-13
2017-02-12 23:43:41,547 - ___log_ - INFO - Doing regression 0.62; 2012-13
2017-02-12 23:43:46,661 - ___log_ - INFO - Doing regression 0.10; 2009-12
2017-02-12 23:43:49,284 - ___log_ - INFO - Doing regression 0.73; 2012-13
2017-02-12 23:43:49,524 - ___log_ - INFO - Doing regression 0.00; 2011-14
2017-02-12 23:43:57,762 - ___log_ - INFO - Doing regression 0.83; 2012-13
2017-02-12 23:43:58,070 - ___log_ - INFO - Doing regression 0.20; 2009-12
2017-02-12 23:43:58,098 - ___log_ - INFO - Doing regression 0.10; 2011-14
2017-02-12 23:44:03,128 - ___log_ - INFO - Doing regression 0.94; 2012-13
2017-02-12 23:44:04,606 - ___log_ - INFO - Doing regression 0.20; 2011-14
2017-02-12 23:44:05,797 - ___log_ - INFO - Doing regression 0.00; 2010-12
2017-02-12 23:44:05,926 - ___log_ - INFO - Doing regression 0.29; 2009-12
2017-02-12 23:44:08,024 - ___log_ - INFO - Start pickling; 2012-13
2017-02-12 23:44:08,215 - ___log_ - INFO - Start handling; /Users/JerryHan88/PycharmProjects/taxi_projects/community_analysis/data/tfZ_TP/tfZ_TP-2012-14.csv
2017-02-12 23:44:08,222 - ___log_ - INFO - Start loading; 2012-14
2017-02-12 23:44:10,615 - ___log_ - INFO - Doing regression 0.31; 2011-14
2017-02-12 23:44:12,314 - ___log_ - INFO - Doing regression 0.39; 2009-12
2017-02-12 23:44:15,866 - ___log_ - INFO - Doing regression 0.41; 2011-14
2017-02-12 23:44:19,243 - ___log_ - INFO - Doing regression 0.51; 2011-14
